Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview,Winner
1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),https://open.spotify.com/track/006Ndmw2hHxvnLbJsBFnPx,006Ndmw2hHxvnLbJsBFnPx,0.987,0.518,216373.0,0.06,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,0.336,Tutto Modugno (Mister Volare),https://i.scdn.co/image/5e8c49f7a8d161c1d6510999bd867b6a91640dae,False,34.0,https://p.scdn.co/mp3-preview/a0e2ef35a1613d868ca54ec824696df2300b1451?cid=bca78196e824433fbdf88ec18d84825f,1
1958,Henry Mancini,The Music From Peter Gunn,https://open.spotify.com/track/3BdPP6Xce6FUcfaCFsnZIg,3BdPP6Xce6FUcfaCFsnZIg,0.893,0.55,177733.0,0.318,0.8809999999999999,0.0,0.0311,-14.515999999999998,1.0,0.0313,138.037,4.0,0.62,The music from Peter Gunn,https://i.scdn.co/image/1ad2e8ce1f988c27678298235e8e15086dd77cd5,False,16.0,https://p.scdn.co/mp3-preview/8380c4830866fc12515b743e0d782d9dc0b18262?cid=bca78196e824433fbdf88ec18d84825f,1
1958,"Domenico Modugno, songwriter (Domenico Modugno)",Nel Blu Dipinto Di Blu (Volare),https://open.spotify.com/track/006Ndmw2hHxvnLbJsBFnPx,006Ndmw2hHxvnLbJsBFnPx,0.987,0.518,216373.0,0.06,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,0.336,Tutto Modugno (Mister Volare),https://i.scdn.co/image/5e8c49f7a8d161c1d6510999bd867b6a91640dae,False,34.0,https://p.scdn.co/mp3-preview/a0e2ef35a1613d868ca54ec824696df2300b1451?cid=bca78196e824433fbdf88ec18d84825f,1
1958,Perry Como,Catch A Falling Star,https://open.spotify.com/track/38YMdelhj62vJ6d5a0wxMQ,38YMdelhj62vJ6d5a0wxMQ,0.8640000000000001,0.628,148493.0,0.172,0.0,11.0,0.113,-17.816,1.0,0.06,118.895,3.0,0.475,It's Impossible,https://i.scdn.co/image/0a33dd0dbd1b416c245c8c803a27626b9cdf8cf9,False,44.0,https://p.scdn.co/mp3-preview/9e2cfff3559c2e26127e18aa7bcf682950674830?cid=bca78196e824433fbdf88ec18d84825f,1
1958,The Champs,Tequila,https://open.spotify.com/track/5gJKsGij5oGt5H5RSFYXPa,5gJKsGij5oGt5H5RSFYXPa,0.121,0.6709999999999999,135240.0,0.742,0.679,5.0,0.0601,-9.912,1.0,0.0441,89.74799999999999,4.0,0.897,Greatest Hits / Tequila,https://i.scdn.co/image/f969d6a06169034bc5719361a8855c3b43316216,False,58.0,https://p.scdn.co/mp3-preview/2c88f827c751d5e53c9ce222cf04ce5d40c879b1?cid=bca78196e824433fbdf88ec18d84825f,1
1958,André Previn,Gigi,https://open.spotify.com/track/2Z8UMzOYupxmJkTls0SKYI,2Z8UMzOYupxmJkTls0SKYI,0.972,0.276,147893.0,0.215,0.81,0.0,0.125,-13.797,1.0,0.0297,172.68599999999998,4.0,0.0722,André Previn In Hollywood,https://i.scdn.co/image/65511d496561c77c7a80165ad53cfea660645c70,False,2.0,https://p.scdn.co/mp3-preview/315d4b2bb4d26af6c110b2659779bf886b262234?cid=bca78196e824433fbdf88ec18d84825f,1
1958,"Felix Slatkin, conductor",Gaiete Parisienne,https://open.spotify.com/track/769qDIxHB0gGaW0PbYnQ1G,769qDIxHB0gGaW0PbYnQ1G,0.7190000000000001,0.479,115000.0,0.47700000000000004,0.154,9.0,0.135,-13.588,1.0,0.0423,87.68299999999999,4.0,0.847,World Classical Concert,https://i.scdn.co/image/9be3dfbcfc6b94b90fa5dee9306d6da9445e9779,False,20.0,https://p.scdn.co/mp3-preview/e6a076206e102745cc3d32385be10f2e6cfa9d08?cid=bca78196e824433fbdf88ec18d84825f,1
1958,"Van Cliburn, piano","Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23",https://open.spotify.com/track/7dMKKLuDqwGxPN29dmale9,7dMKKLuDqwGxPN29dmale9,0.976,0.265,1240600.0,0.16899999999999998,0.871,10.0,0.0903,-16.814,0.0,0.036000000000000004,81.013,4.0,0.0399,Tchaikovsky: Concerto No. 1/Rachmaninoff: Concerto No. 2,https://i.scdn.co/image/ceb0ef8b249160088ddcc905d95145a76b41f2ba,False,55.0,https://p.scdn.co/mp3-preview/d8bcad6894317cae2d01e083ba5211d342031687?cid=bca78196e824433fbdf88ec18d84825f,1
1958,"Andres Segovia, guitar",Segovia Golden Jubilee,https://open.spotify.com/track/6Kv5Wh4zu18gKmwTWx523Y,6Kv5Wh4zu18gKmwTWx523Y,0.986,0.5710000000000001,174933.0,0.212,0.892,4.0,0.107,-18.907,1.0,0.0354,79.348,4.0,0.0918,Golden Jubilee,https://i.scdn.co/image/ed4f9bcd23a052b9c31d1f934d6d5a7ee5027750,False,0.0,https://p.scdn.co/mp3-preview/901a14df25428782559449183faaf4df9cd3ae18?cid=bca78196e824433fbdf88ec18d84825f,1
1958,Hollywood String Quartet,Beethoven: Quartet 130,https://open.spotify.com/track/1i2V4LxYsjP1yCGBGqVTDF,1i2V4LxYsjP1yCGBGqVTDF,0.7759999999999999,0.0826,438667.0,0.0347,0.34600000000000003,3.0,0.115,-30.389,1.0,0.0504,173.56799999999998,3.0,0.0367,Beethoven: The Complete String Quartets,https://i.scdn.co/image/12f4150673d04017c8662d7aaa3534ebd50d682b,False,40.0,https://p.scdn.co/mp3-preview/3453de692f42dcf2ff207549ce6c6b822736f8a4?cid=bca78196e824433fbdf88ec18d84825f,1
