annualGrammy,awardFor,awardType,category,name
1,Nel Blu Dipinto Di Blu (Volare),Individual,Record Of The Year,Nel Blu Dipinto Di Blu (Volare)
1,The Music From Peter Gunn,Work,Album Of The Year,Henry Mancini
1,Nel Blu Dipinto Di Blu (Volare),Individual,Song Of The Year,Nel Blu Dipinto Di Blu (Volare)
1,Ella Fitzgerald Sings The Irving Berlin Song Book,Work,"Best Vocal Performance, Female",Ella Fitzgerald
1,Catch A Falling Star,Individual,"Best Vocal Performance, Male",Catch A Falling Star
1,Billy May's Big Fat Brass,Individual,Best Performance By An Orchestra,Billy May's Big Fat Brass
1,Basie,Individual,Best Performance By A Dance Band,Basie
1,That Old Black Magic,Individual,Best Performance By A Vocal Group Or Chorus,That Old Black Magic
1,Ella Fitzgerald Sings The Duke Ellington Song Book,Work,"Best Jazz Performance, Individual",Ella Fitzgerald
1,Basie,Individual,"Best Jazz Performance, Group",Basie
1,The Chipmunk Song,Individual,Best Comedy Performance,The Chipmunk Song
1,Tom Dooley,Individual,Best Country & Western Performance,Tom Dooley
1,Tequila,Individual,Best Rhythm & Blues Performance,Tequila
1,The Music From Peter Gunn,Work,Best Arrangement,Henry Mancini
1,Duets With A Spanish Guitar,Individual,Best Engineered Record (Classical),Duets With A Spanish Guitar
1,The Chipmunk Song,Individual,Best Engineered Record - Non-Classical,The Chipmunk Song
1,Only The Lonely,Work,Best Album Cover,Frank Sinatra
1,Cross Country Suite,Individual,Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),Cross Country Suite
1,The Music Man,Individual,Best Original Cast Album (Broadway Or TV),The Music Man
1,Gigi,Work,"Best Sound Track Album, Dramatic Picture Score Or Original Cast",André Previn
1,The Best Of The Stan Freberg Shows,Individual,"Best Performance, Documentary Or Spoken Word",The Best Of The Stan Freberg Shows
1,The Chipmunk Song,Individual,Best Recording For Children,The Chipmunk Song
1,Gaiete Parisienne,Individual,Best Classical Performance - Orchestra,Gaiete Parisienne
1,"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23",Individual,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23"
1,Segovia Golden Jubilee,Individual,Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment),Segovia Golden Jubilee
1,Beethoven: Quartet 130,Individual,Best Classical Performance - Chamber Music (Including Chamber Orchestra),Beethoven: Quartet 130
1,Operatic Recital,Individual,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Operatic Recital
1,Virtuoso,Individual,Best Classical Performance - Operatic Or Choral,Virtuoso
2,Mack The Knife,Individual,Record Of The Year,Mack The Knife
2,Come Dance With Me,Work,Album Of The Year,Frank Sinatra
2,The Battle Of New Orleans,Individual,Song Of The Year,The Battle Of New Orleans
2,But Not For Me,Work,"Best Vocal Performance, Female",Ella Fitzgerald
2,Come Dance With Me,Work,"Best Vocal Performance, Male",Frank Sinatra
2,Anatomy Of A Murder,Work,Best Performance By A Dance Band,Duke Ellington
2,Like Young,Work,Best Performance By An Orchestra,André Previn
2,Battle Hymn Of The Republic,Individual,Best Performance By A Vocal Group Or Chorus,Battle Hymn Of The Republic
2,Ella Swings Lightly,Work,Best Jazz Performance - Soloist,Ella Fitzgerald
2,I Dig Chicks,Individual,Best Jazz Performance - Group,I Dig Chicks
2,Debussy: Images For Orchestra,Individual,Best Classical Performance - Orchestra,Debussy: Images For Orchestra
2,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat,Individual,Best Classical Performance - Chamber Music (Including Chamber Orchestra),Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat
2,Rachmaninoff: Piano Concerto No. 3,Individual,Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment),Rachmaninoff: Piano Concerto No. 3
2,Mozart: The Marriage Of Figaro,Individual,Best Classical Performance - Opera Cast Or Choral,Mozart: The Marriage Of Figaro
2,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat,Individual,Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment),Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat
2,Bjoerling In Opera,Individual,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Bjoerling In Opera
2,Anatomy Of A Murder,Work,Best Musical Composition First Recorded And Released In 1959 (More Than 5 Minutes Duration),Duke Ellington
2,Anatomy Of A Murder,Work,Best Sound Track Album - Background Score From A Motion Picture Or Television,Duke Ellington
2,Porgy And Bess,Individual,"Best Sound Track Album, Original Cast - Motion Picture Or Television",Porgy And Bess
2,Gypsy,Individual,Best Broadway Show Album,Gypsy
2,Inside Shelley Berman,Individual,Best Comedy Performance - Spoken Word,Inside Shelley Berman
2,The Battle Of Kookamonga,Individual,Best Comedy Performance - Musical,The Battle Of Kookamonga
2,A Lincoln Portrait,Individual,Best Performance - Documentary Or Spoken Word (Other Than Comedy),A Lincoln Portrait
2,Midnight Flyer,Individual,"Best Performance By A ""Top 40"" Artist",Midnight Flyer
2,The Battle Of New Orleans,Individual,Best Country & Western Performance,The Battle Of New Orleans
2,What A Diff'rence A Day Makes,Individual,Best Rhythm & Blues Performance,What A Diff'rence A Day Makes
2,The Kingston Trio At Large,Individual,Best Performance - Folk,The Kingston Trio At Large
2,Peter And The Wolf,Individual,Best Recording For Children,Peter And The Wolf
2,Come Dance With Me,Individual,Best Arrangement,Come Dance With Me
2,"Victory At Sea, Vol. I",Individual,Best Engineering Contribution - Classical Recording,"Victory At Sea, Vol. I"
2,Alvin's Harmonica,Individual,Best Engineering Contribution - Novelty Recording,Alvin's Harmonica
2,Belafonte At Carnegie Hall,Individual,Best Engineering Contribution - Other Than Classical Or Novelty,Belafonte At Carnegie Hall
2,Shostakovich: Symphony No. 5,Individual,Best Album Cover,Shostakovich: Symphony No. 5
2,Bobby Darin,Individual,Best New Artist Of 1959,Bobby Darin
3,The Theme From A Summer Place,Individual,Record Of The Year,The Theme From A Summer Place
3,The Button-Down Mind Of Bob Newhart,Individual,Album Of The Year,The Button-Down Mind Of Bob Newhart
3,Theme From Exodus,Individual,Song Of The Year,Theme From Exodus
3,Mack The Knife,Individual,"Best Vocal Performance Single Record Or Track, Female",Mack The Knife
3,Mack The Knife - Ella In Berlin,Work,"Best Vocal Performance Album, Female",Ella Fitzgerald
3,Georgia On My Mind,Individual,"Best Vocal Performance Single Record Or Track, Male",Georgia On My Mind
3,The Genius Of Ray Charles,Individual,"Best Vocal Performance Album, Male",The Genius Of Ray Charles
3,Mr. Lucky,Work,Best Arrangement,Henry Mancini
3,Dance With Basie,Individual,Best Performance By A Band For Dancing,Dance With Basie
