Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1958,Domenico Modugno,Volare,https://open.spotify.com/track/4TVFmPiDtVtFe5P9y5OwJ9,4TVFmPiDtVtFe5P9y5OwJ9,0.963,0.297,274867.0,0.208,2.17e-05,4.0,0.142,-15.611,0.0,0.0446,97.044,4.0,0.341,The 50 Greatest Vocal Hits,https://i.scdn.co/image/f769e1ec2c19cd07c9d3332c446e68e1093daf8c,False,37.0,
1958,Everly Brothers,All I Have To Do Is Dream / Claudette,,,,,,,,,,,,,,,,,,,,
1958,Elvis Presley,Don't / I Beg of You,,,,,,,,,,,,,,,,,,,,
1958,David Seville,Witch Doctor,https://open.spotify.com/track/48skOMMuEQSfwo0JZpfqjk,48skOMMuEQSfwo0JZpfqjk,0.455,0.6,142493.0,0.742,0.0,7.0,0.209,-4.752,1.0,0.0604,138.227,4.0,0.84,Alvin And The Chipmunks (Original Motion Picture Soundtrack),https://i.scdn.co/image/698c60bd6fd10a55dfdd76a02f1b9c84e7f50826,False,25.0,
1958,Pérez Prado,Patricia,https://open.spotify.com/track/205EtD8tQnHDXMkmtYiaHF,205EtD8tQnHDXMkmtYiaHF,0.0862,0.704,140867.0,0.638,0.251,1.0,0.115,-9.522,1.0,0.0457,137.396,4.0,0.837,The Best Of Perez Prado: The Original Mambo #5,https://i.scdn.co/image/7700a28d06ef4e7ba51e2bcdb53fcf81aada128f,False,37.0,https://p.scdn.co/mp3-preview/5173953cf53959233fc735f9ccb930ff8f2852fa?cid=bca78196e824433fbdf88ec18d84825f
1958,Billy Vaughn,Sail Along Silvery Moon / Raunchy,,,,,,,,,,,,,,,,,,,,
1958,Perry Como,Catch a Falling Star / Magic Moments,https://open.spotify.com/track/4U9MRX3FF6b8ynedhuDRbf,4U9MRX3FF6b8ynedhuDRbf,0.839,0.567,179000.0,0.442,4.64e-06,1.0,0.0987,-7.768,1.0,0.0314,110.058,4.0,0.336,Magic Moments,https://i.scdn.co/image/68b981d6d78f7da38f1c31cc4164e131a48c652d,False,0.0,https://p.scdn.co/mp3-preview/4a22898d072bb2f26d419461952905e9c835ef06?cid=bca78196e824433fbdf88ec18d84825f
1958,The Champs,Tequila,https://open.spotify.com/track/5gJKsGij5oGt5H5RSFYXPa,5gJKsGij5oGt5H5RSFYXPa,0.121,0.671,135240.0,0.742,0.679,5.0,0.0601,-9.912,1.0,0.0441,89.748,4.0,0.897,Greatest Hits / Tequila,https://i.scdn.co/image/f969d6a06169034bc5719361a8855c3b43316216,False,58.0,https://p.scdn.co/mp3-preview/2c88f827c751d5e53c9ce222cf04ce5d40c879b1?cid=bca78196e824433fbdf88ec18d84825f
1958,Tommy Edwards,It's All In The Game,https://open.spotify.com/track/7alIbopJGYvr2DVQNWIgB8,7alIbopJGYvr2DVQNWIgB8,0.542,0.441,259747.0,0.891,8.25e-06,7.0,0.922,-7.557,1.0,0.0902,129.776,4.0,0.764,A Night In San Francisco (Live),https://i.scdn.co/image/d4e6e08904374946131979de6884f03c1bcc2e35,False,22.0,https://p.scdn.co/mp3-preview/0936734e7777c5d6fea1790845dd11363e84648a?cid=bca78196e824433fbdf88ec18d84825f
1958,Dean Martin,Return To Me (Ritorna-Me),https://open.spotify.com/track/6YAgmqaeo8Fm3pne8OJEBo,6YAgmqaeo8Fm3pne8OJEBo,0.966,0.267,144800.0,0.205,0.00203,2.0,0.113,-13.75,1.0,0.0348,88.584,4.0,0.178,This Is Dean Martin,https://i.scdn.co/image/a7f695beb4ef6ab2b472e2806941fa60f48adb20,False,47.0,
1958,Conway Twitty,It's Only Make Believe,https://open.spotify.com/track/2FPHyyvfLMIV8GkUWWwYl5,2FPHyyvfLMIV8GkUWWwYl5,0.777,0.561,150133.0,0.381,5.25e-05,10.0,0.12,-11.303,1.0,0.032,115.186,3.0,0.479,Greatest Hits - Finest Performances,https://i.scdn.co/image/e1aa6f3401e4e57206ea82120babaffc384643cd,False,44.0,https://p.scdn.co/mp3-preview/cea2e749a5cde7aefea264711f020195b036f203?cid=bca78196e824433fbdf88ec18d84825f
1958,Sheb Wooley,Purple People Eater,https://open.spotify.com/track/2jchfa2V62IKul4RvzmGXb,2jchfa2V62IKul4RvzmGXb,0.842,0.681,134400.0,0.512,0.0,9.0,0.32,-6.854,1.0,0.0787,78.483,4.0,0.891,Lost Halloween,https://i.scdn.co/image/85ba2daba9dd21bf41d65cb8efc155be7e703018,False,31.0,
1958,Everly Brothers,Bird Dog / Devoted to You,,,,,,,,,,,,,,,,,,,,
1958,Silhouettes,Get a Job,https://open.spotify.com/track/21NhrNOfIoakyWISXUMkFN,21NhrNOfIoakyWISXUMkFN,0.652,0.625,169707.0,0.425,0.000525,7.0,0.124,-9.962,1.0,0.0359,80.024,4.0,0.829,Get a Job,https://i.scdn.co/image/e31240eba6d53642770064db35c6e151253e6439,False,45.0,https://p.scdn.co/mp3-preview/722c3f2bebafcbf2f861747c0a42a24d34985c1c?cid=bca78196e824433fbdf88ec18d84825f
1958,Elegants,Little Star,https://open.spotify.com/track/3c7KT5CN8uYRaK3xThhdYt,3c7KT5CN8uYRaK3xThhdYt,0.873,0.408,162773.0,0.397,0.0,9.0,0.28,-12.536,1.0,0.03,72.615,4.0,0.697,Little Star: The Best Of The Elegants,https://i.scdn.co/image/83350f7f3e709bffbd6bf47bea2d4132c145484a,False,38.0,https://p.scdn.co/mp3-preview/020ed02ce51dee8a4c6dac2b598c0b4d7c2c494b?cid=bca78196e824433fbdf88ec18d84825f
1958,Ricky Nelson,Stood Up / Waitin' In School,,,,,,,,,,,,,,,,,,,,
1958,Laurie London,He's Got the Whole World In His Hands,https://open.spotify.com/track/5MW5soE7bBVgKUm4vhEkjo,5MW5soE7bBVgKUm4vhEkjo,0.975,0.461,246840.0,0.0525,0.812,5.0,0.195,-22.897,0.0,0.0435,95.636,4.0,0.0612,Pianoforte,https://i.scdn.co/image/0909b7fbd4555070adcc25b0a9f1b705cc542a23,False,5.0,https://p.scdn.co/mp3-preview/8cf2628522cdddf1d03a44e3192b40adc65cfba5?cid=bca78196e824433fbdf88ec18d84825f
1958,The Platters,Twilight Time,https://open.spotify.com/track/3MpGQae6zAFd7Z1FdLV9fV,3MpGQae6zAFd7Z1FdLV9fV,0.761,0.456,168293.0,0.353,0.0,9.0,0.255,-12.551,1.0,0.0402,115.847,3.0,0.328,The Flying Platters Around The World,https://i.scdn.co/image/04cbd9ff29a5863f84270a3dbc7c7e7803c787d9,False,57.0,
1958,Jimmie Rodgers,Secretly,https://open.spotify.com/track/4jDVGv8E9MWWcVJJPl22t3,4jDVGv8E9MWWcVJJPl22t3,0.852,0.704,157867.0,0.467,1.61e-06,10.0,0.109,-10.421,0.0,0.0328,76.625,4.0,0.344,The Best Of Jimmie Rodgers,https://i.scdn.co/image/6dbb6c47f2c71f5d3fbc3a60626aceedfaca1690,False,27.0,https://p.scdn.co/mp3-preview/5ecb1d79a49143a832df94a3aaecd4993264e7ac?cid=bca78196e824433fbdf88ec18d84825f
1958,Danny & The Juniors,At The Hop,https://open.spotify.com/track/10Bk0h9A5KOa2AIJSpUds3,10Bk0h9A5KOa2AIJSpUds3,0.699,0.433,149720.0,0.792,0.0,8.0,0.179,-9.572,1.0,0.0581,194.131,4.0,0.846,The Complete Releases 1957-62,https://i.scdn.co/image/8ac40660e5e7c894e8ec9218d8d4678e38b8c311,False,46.0,https://p.scdn.co/mp3-preview/184cc383bbd9710973780d46b0a5cf83feff90b2?cid=bca78196e824433fbdf88ec18d84825f
1958,The Coasters,Yakety Yak,https://open.spotify.com/track/7demHL0GXA6YmTNqw3Btz8,7demHL0GXA6YmTNqw3Btz8,0.705,0.715,113040.0,0.669,0.000732,7.0,0.044,-9.491,1.0,0.128,120.789,4.0,0.976,Rhino Hi-Five: The Coasters,https://i.scdn.co/image/fd3a9e43b3effc87fdbae208e86ab3242630ce41,False,53.0,https://p.scdn.co/mp3-preview/979ed69d82eee4eb979a1d6644becaf9727a1e61?cid=bca78196e824433fbdf88ec18d84825f
1958,Elvis Presley,Wear My Ring Around Your Neck / Doncha' Think It's Time,,,,,,,,,,,,,,,,,,,,
1958,Ricky Nelson,Poor Little Fool,https://open.spotify.com/track/5ayybTSXNwcarDtxQKqvWX,5ayybTSXNwcarDtxQKqvWX,0.669,0.543,153933.0,0.332,0.0,0.0,0.134,-11.573,1.0,0.0317,154.999,4.0,0.795,Ricky Nelson (Expanded Edition / Remastered),https://i.scdn.co/image/f0f2c3321ca683bdc121ba039b98c13bbf37d6b2,False,48.0,
1958,Pat Boone,A Wonderful Time Up There / It's Too Soon to Know,,,,,,,,,,,,,,,,,,,,
1958,Jimmy Clanton,Just a Dream,https://open.spotify.com/track/1tKMOJW1eTIMSNtILF0ce9,1tKMOJW1eTIMSNtILF0ce9,0.645,0.679,161253.0,0.279,0.0,7.0,0.118,-10.386,1.0,0.0384,117.287,3.0,0.854,R & B Megahits Of The 1950's - Volume 2,https://i.scdn.co/image/a036b49a7c34b0313af3c6aece152a5fbaa1770c,False,26.0,https://p.scdn.co/mp3-preview/db5e12c2b29ab209c1d4b3f32bb310b12d83a16a?cid=bca78196e824433fbdf88ec18d84825f
