Artist,Position,Title,Year
Domenico Modugno,1,Volare,1958
Everly Brothers,2,All I Have To Do Is Dream / Claudette,1958
Elvis Presley,3,Don't / I Beg of You,1958
David Seville,4,Witch Doctor,1958
Pérez Prado,5,Patricia,1958
Billy Vaughn,6,Sail Along Silvery Moon / Raunchy,1958
Perry Como,7,Catch a Falling Star / Magic Moments,1958
The Champs,8,Tequila,1958
Tommy Edwards,9,It's All In The Game,1958
Dean Martin,10,Return To Me (Ritorna-Me),1958
Conway Twitty,11,It's Only Make Believe,1958
Sheb Wooley,12,Purple People Eater,1958
Everly Brothers,13,Bird Dog / Devoted to You,1958
Silhouettes,14,Get a Job,1958
Elegants,15,Little Star,1958
Ricky Nelson,16,Stood Up / Waitin' In School,1958
Laurie London,17,He's Got the Whole World In His Hands,1958
The Platters,18,Twilight Time,1958
Jimmie Rodgers,19,Secretly,1958
Danny & The Juniors,20,At The Hop,1958
The Coasters,21,Yakety Yak,1958
Elvis Presley,22,Wear My Ring Around Your Neck / Doncha' Think It's Time,1958
Ricky Nelson,23,Poor Little Fool,1958
Pat Boone,24,A Wonderful Time Up There / It's Too Soon to Know,1958
Jimmy Clanton,25,Just a Dream,1958
McGuire Sisters,26,Sugartime,1958
Bobby Day,27,Rockin' Robin / Over and Over,1958
Kingston Trio,28,Tom Dooley,1958
Chuck Berry,29,Sweet Little Sixteen,1958
Cozy Cole,30,Topsy Part 2 / Topsy Part 1,1958
Nat King Cole,31,Looking Back,1958
Monotones,32,The Book of Love,1958
Tommy Dorsey Orch. & Warren Covington,33,Tea For Two Cha Cha Cha,1958
Little Anthony & The Imperials,34,Tears On My Pillow,1958
Royal Teens,35,Short Shorts,1958
Jerry Lee Lewis,36,Great Balls of Fire,1958
The Chordettes,37,Lollipop,1958
Bobby Darin,38,Splish Splash,1958
Connie Francis,39,Who's Sorry Now,1958
Jack Scott,40,My True Love / Leroy,1958
Jody Reynolds,41,Endless Sleep,1958
Bobby Freeman,42,Do You Want To Dance,1958
Kalin Twins,43,When,1958
Teddy Bears,44,To Know Him Is To Love Him,1958
Pat Boone,45,April Love,1958
Duane Eddy,46,Rebel Rouser,1958
Crescendos,47,Oh Julie,1958
The Diamonds,48,The Stroll,1958
Elvis Presley,49,Hard Headed Woman / Don't Ask Me Why,1958
Buddy Holly,50,Peggy Sue,1958
Don Gibson,51,Oh Lonesome Me,1958
The Big Bopper,52,Chantilly Lace,1958
Rick Nelson,53,Lonesome Town,1958
Frank Sinatra,54,All the Way,1958
Elvis Presley,55,One Night,1958
Robin Luke,56,Susie Darlin',1958
Four Preps,57,26 Miles,1958
Earl Grant,58,The End,1958
Jimmie Rodgers,59,Kisses Sweeter Than Wine,1958
Playmates,60,Beep Beep,1958
Mitch Miller,61,March from the River Kwai and Colonel Bogey,1958
The Everly Brothers,62,Problems,1958
Bobby Darin,63,Queen of the Hop,1958
Will Glahe,64,Liechtensteiner Polka,1958
Elvis Presley,65,I Got Stung,1958
Andy Williams,66,Are You Sincere,1958
Ricky Nelson,67,I Got a Feeling,1958
Poni Tails,68,Born Too Late,1958
Johnny Otis Show,69,Willie And The Hand Jive,1958
The Four Preps,70,Big Man,1958
The Crickets,71,"Oh, Boy!",1958
Chuck Willis,72,What Am I Living For,1958
Chuck Berry,73,Johnny B. Goode,1958
Eddie Cochran,74,Summertime Blues,1958
Roger Williams,75,Near You,1958
Peggy Lee,76,Fever,1958
Ed Townsend,77,For Your Love,1958
Paul Anka,78,You Are My Destiny,1958
Art and Dotty Todd,79,Chanson d'Amour,1958
Lou Monte,80,Lazy Mary (Luna Mezza Mare),1958
Johnny Cash,81,Ballad of a Teenage Queen,1958
Pat Boone,82,It's Too Soon to Know,1958
Jimmy McCracklin,83,The Walk,1958
Perry Como,84,Kewpie Doll,1958
George Hamilton IV,85,Why Don't They Understand,1958
Frankie Avalon,86,Dede Dinah,1958
Pat Boone,87,Sugar Moon,1958
The Everly Brothers,88,Devoted To You,1958
The Chantels,89,Maybe,1958
Kathy Linden,90,Billy,1958
Johnny Cash,91,Guess Things Happen That Way,1958
The Hollywood Flames,94,"Buzz, Buzz, Buzz",1958
Jerry Lee Lewis,95,Breathless,1958
Jan and Arnie,96,Jennie Lee,1958
The Royaltones,97,Poor Boy,1958
Marty Robbins,98,The Story of My Life,1958
Frankie Avalon,99,I'll Wait for You,1958
